empid|flightrisk|currentsalary|joblevel|yearseducation|travelamt|gender
23611|high|62247|6|16|30|Male
23612|low|89963|7|20|90|Male
23613|high|60278|7|18|70|Female
23614|high|77988|6|18|50|Female
23615|low|87801|6|16|10|Female
23616|medium|64345|7|18|0|Female
23617|medium|69332|7|17|60|Female
23618|low|85108|6|19|80|Male
23619|low|80372|7|19|70|Male
23620|high|75705|5|18|50|Male
23621|high|65750|6|20|90|Male
23622|high|62163|7|19|90|Male
23623|high|89629|5|18|60|Female
23624|high|64683|7|17|20|Female
23625|medium|69567|7|16|50|Female
23626|low|83204|7|17|50|Female
23627|high|83472|6|18|60|Male
23628|high|73407|7|17|70|Male
23629|low|88330|7|17|10|Male
23630|high|87455|7|16|40|Female
23631|high|77858|7|16|80|Female
23632|high|63341|6|17|40|Male
23633|high|61123|7|20|80|Female
23634|high|79928|5|20|30|Male
23635|low|85335|6|19|100|Female
23636|medium|76989|5|17|90|Male
23637|high|89304|5|16|70|Female
23638|high|67312|6|18|10|Male
23639|high|70261|6|20|40|Male
23640|high|65001|5|16|80|Male
23641|high|69838|5|18|50|Male
23642|high|79044|7|17|20|Male
23643|high|65868|6|18|70|Female
23644|high|76778|5|17|30|Female
23645|high|75391|7|20|40|Male
23646|high|63820|7|18|60|Female
23647|low|81950|6|16|90|Male
23648|high|72023|7|17|30|Male
23649|high|61534|7|18|30|Female
23650|high|64908|7|17|50|Male
23651|high|89855|6|20|80|Male
23652|high|63583|6|17|50|Female
23653|high|75712|5|18|90|Male
23654|high|89981|7|17|90|Female
23655|high|60009|6|17|10|Male
23656|medium|66813|2|15|30|Female
23657|medium|69473|1|16|50|Female
23658|medium|59280|2|16|90|Female
23659|medium|55809|4|16|90|Female
23660|medium|65136|4|14|90|Female
23661|medium|56881|4|15|30|Female
23662|medium|69646|4|16|40|Female
23663|medium|56750|4|16|10|Female
23664|medium|61362|1|14|70|Female
23665|medium|62010|3|14|90|Female
23666|medium|61169|1|16|20|Female
23667|medium|69472|4|15|60|Female
23668|medium|69046|3|15|20|Female
23669|medium|57269|1|16|70|Female
23670|medium|63877|4|14|70|Female
23671|medium|60980|1|15|50|Female
23672|medium|58878|2|16|30|Female
23673|medium|57450|3|15|90|Female
23674|medium|63494|1|14|10|Female
23675|medium|64955|3|15|70|Female
23676|medium|58193|4|14|70|Female
23677|medium|55019|4|14|30|Female
23678|medium|56596|3|15|40|Female
23679|medium|67348|1|15|20|Female
23680|medium|69065|4|16|60|Female
23681|medium|67183|3|16|40|Female
23682|medium|66733|3|16|90|Female
23683|medium|55907|2|14|70|Female
23684|medium|64711|1|15|20|Female
23685|medium|56685|4|14|10|Female
23686|medium|58057|3|15|90|Female
23687|medium|58067|1|14|60|Female
23688|medium|61635|1|15|40|Female
23689|medium|67471|3|14|80|Female
23690|medium|67594|2|15|40|Female
23691|medium|69911|3|15|80|Female
23692|medium|59610|1|14|80|Female
23693|medium|65700|3|16|90|Female
23694|medium|61428|1|14|60|Female
23695|medium|58159|2|15|0|Female
23696|medium|58776|1|16|0|Female
23697|medium|55991|2|14|90|Female
23698|medium|65814|4|16|90|Female
23699|medium|63837|1|14|90|Female
23700|medium|68227|3|16|30|Female
23701|medium|57177|3|14|0|Female
23702|medium|62137|3|14|50|Female
23703|medium|63655|3|16|70|Female
23704|medium|63722|4|16|70|Female
23705|medium|57183|2|14|90|Female
23706|low|46350|3|13|70|Female
23707|low|58050|4|12|60|Male
23708|low|55599|3|14|100|Female
23709|low|75336|4|13|70|Male
23710|low|55600|4|12|70|Male
23711|low|53327|3|12|70|Female
23712|low|53043|3|14|70|Male
23713|high|49103|3|14|100|Female
23714|low|57665|5|13|70|Male
23715|low|58256|4|13|40|Female
23716|low|45331|3|13|100|Male
23717|low|54988|4|14|40|Female
23718|low|50363|4|12|90|Male
23719|low|57493|3|14|80|Male
23720|low|87367|5|14|20|Female
23721|low|54487|3|14|40|Female
23722|low|57340|3|12|80|Male
23723|low|57271|4|14|20|Male
23724|low|55433|4|12|40|Male
23725|low|57251|4|13|80|Female
23726|low|57243|6|14|60|Female
23727|low|54569|4|13|80|Male
23728|low|51496|5|13|90|Male
23729|low|50981|6|14|90|Male
23730|low|55806|6|12|0|Male
23731|low|59912|4|14|40|Male
23732|low|48499|4|14|50|Female
23733|low|45568|6|13|90|Male
23734|high|51964|6|14|70|Female
23735|high|50560|3|13|70|Female
23736|high|59723|5|12|90|Female
23737|low|76061|6|12|80|Female
23738|low|79639|3|13|80|Male
23739|low|45137|3|13|70|Female
23740|low|51553|6|14|20|Male
23741|low|51047|5|14|70|Male
23742|low|53088|4|14|80|Male
23743|low|51467|4|14|100|Female
23744|low|59518|4|14|60|Female
23745|low|51716|3|13|80|Male
23746|low|56509|4|14|90|Female
23747|low|46921|6|14|80|Male
23748|low|54906|4|13|90|Female
23749|low|50687|6|12|30|Male
23750|low|54503|3|13|80|Female
23751|low|55099|3|13|80|Female
23752|low|55420|3|14|80|Male
23753|low|57333|6|12|70|Male
23754|low|46219|6|14|40|Male
23755|low|51929|3|14|90|Male
23756|high|60448|6|16|30|Female
23757|high|69860|5|19|30|Male
23758|high|83005|5|19|50|Female
23759|high|84074|6|17|90|Female
23760|low|76070|6|17|20|Female
23761|medium|88942|5|20|90|Female
23762|high|66933|6|17|60|Male
23763|low|89139|5|17|100|Female
23764|high|37354|7|16|70|Female
23765|high|33406|7|18|70|Female
23766|high|71773|7|18|30|Male
23767|high|61151|6|16|40|Male
23768|high|82724|5|17|50|Female
23769|high|63421|5|18|20|Male
23770|high|81748|5|18|50|Female
23771|high|35356|6|16|30|Male
23772|high|33626|6|16|20|Male
23773|high|60470|5|16|20|Male
23774|high|86397|6|17|30|Male
23775|high|86157|5|20|60|Female
23776|high|67713|7|20|80|Male
23777|high|86293|6|16|70|Female
23778|high|83170|7|17|90|Male
23779|high|35999|5|18|20|Female
23780|high|67097|6|16|10|Female
23781|high|82838|5|18|100|Female
23782|high|68066|6|17|0|Female
23783|high|82840|6|18|60|Female
23784|high|85635|5|19|100|Male
23785|high|32399|7|20|80|Male
23786|high|74866|7|20|100|Male
23787|high|82535|7|19|40|Female
23788|high|75029|5|20|70|Female
23789|high|81415|5|19|80|Female
23790|high|33457|5|19|10|Female
23791|high|60999|6|20|0|Female
23792|high|33353|7|20|60|Female
23793|high|69064|7|18|20|Male
23794|high|64501|5|17|80|Female
23795|high|64683|7|17|50|Female
23796|high|89223|5|16|30|Female
23797|high|87796|7|19|30|Female
23798|high|68735|7|17|0|Female
23799|high|80866|6|16|80|Female
23800|high|70658|7|17|60|Female
23801|high|87296|5|18|40|Female
23802|high|69709|7|18|30|Female
23803|high|86463|5|19|70|Female
23804|high|63861|6|20|20|Male
23805|high|33904|6|19|10|Female
23806|medium|57741|4|15|70|Female
23807|medium|60910|4|14|50|Female
23808|medium|55967|2|15|70|Female
23809|medium|58663|4|15|80|Female
23810|medium|58799|4|14|30|Female
23811|medium|68604|1|15|90|Female
23812|medium|59662|1|16|10|Female
23813|medium|59293|1|16|80|Female
23814|medium|57661|3|16|10|Female
23815|medium|67525|2|15|60|Female
23816|medium|68903|1|16|60|Female
23817|medium|61443|4|15|20|Female
23818|medium|60117|2|14|40|Female
23819|medium|67911|2|14|50|Female
23820|medium|63060|1|14|80|Female
23821|medium|69804|1|16|20|Female
23822|medium|56876|4|14|60|Female
23823|medium|66564|4|14|60|Female
23824|medium|67936|1|16|90|Female
23825|medium|55929|3|16|70|Female
23826|medium|64169|3|16|40|Female
23827|medium|57031|4|15|80|Female
23828|medium|61027|2|14|30|Female
23829|medium|67679|1|15|100|Female
23830|medium|68232|3|15|70|Female
23831|medium|66529|3|14|70|Female
23832|medium|59599|4|15|30|Female
23833|medium|63912|3|15|60|Female
23834|medium|58019|1|16|70|Female
23835|medium|69774|4|16|100|Female
23836|medium|56306|3|15|100|Female
23837|medium|56460|2|15|50|Female
23838|medium|56205|4|14|70|Female
23839|medium|57056|4|14|70|Female
23840|medium|64552|1|16|40|Female
23841|medium|64657|2|14|40|Female
23842|medium|55548|3|16|100|Female
23843|medium|56297|3|16|30|Female
23844|medium|58188|3|16|10|Female
23845|medium|56892|2|16|80|Female
23846|medium|58829|2|15|70|Female
23847|medium|59842|1|14|70|Female
23848|medium|57721|2|16|20|Female
23849|medium|55216|1|14|80|Female
23850|medium|55575|1|16|50|Female
23851|medium|65553|2|16|50|Female
23852|medium|66574|3|15|30|Female
23853|medium|57017|4|15|40|Female
23854|medium|61005|2|14|20|Female
23855|medium|65647|4|15|80|Female
23856|low|59585|6|12|20|Male
23857|low|47814|5|14|70|Male
23858|low|45165|6|13|60|Female
23859|low|48304|3|13|80|Female
23860|low|51937|6|14|80|Male
23861|low|56546|6|12|80|Male
23862|low|49808|4|12|70|Male
23863|low|51212|4|13|70|Male
23864|low|49665|3|12|50|Male
23865|low|54592|5|13|0|Female
23866|low|46800|5|12|40|Male
23867|low|51192|3|14|20|Male
23868|low|45704|3|14|20|Female
23869|low|45880|3|14|10|Female
23870|low|48026|5|12|40|Male
23871|low|58045|5|13|50|Male
23872|low|56348|6|12|10|Male
23873|low|54602|4|12|60|Female
23874|low|54289|4|14|60|Female
23875|low|49818|5|12|100|Male
23876|low|45267|3|13|80|Female
23877|low|47257|3|13|60|Male
23878|low|59353|3|13|100|Female
23879|low|57032|3|13|100|Male
23880|low|53716|5|14|80|Male
23881|low|57694|3|12|20|Male
23882|low|51914|4|12|90|Male
23883|low|56348|3|14|20|Female
23884|low|55778|4|14|90|Female
23885|high|49781|4|12|80|Female
23886|high|49153|3|13|40|Male
23887|low|58100|4|14|90|Female
23888|low|46190|6|13|90|Female
23889|low|49476|4|12|10|Male
23890|low|56907|6|14|30|Male
23891|low|58251|4|14|30|Male
23892|low|46798|4|14|10|Male
23893|low|45184|6|12|70|Female
23894|low|51650|6|12|70|Male
23895|low|59350|3|12|90|Female
23896|high|78025|4|12|60|Male
23897|low|47489|5|13|100|Male
23898|low|46573|4|13|10|Female
23899|low|57049|3|14|30|Female
23900|low|53610|4|12|10|Male
23901|low|58230|5|13|70|Male
23902|low|57250|5|14|40|Female
23903|low|76095|5|13|90|Male
23904|low|85300|4|14|90|Female
23905|low|59031|4|14|50|Male
23906|high|81393|5|20|30|Male
23907|high|88351|7|20|10|Male
23908|high|67667|6|17|50|Male
23909|high|66370|7|19|40|Female
23910|high|62548|6|17|30|Female
23911|high|60117|5|17|90|Female
23912|high|87782|6|17|90|Female
23913|high|84704|7|16|40|Female
23914|high|71422|5|20|30|Female
23915|high|60871|7|20|20|Female
23916|high|84165|7|18|100|Female
23917|high|79229|6|18|40|Female
23918|high|83674|6|20|20|Female
23919|high|86659|6|17|80|Female
23920|high|82162|6|19|40|Female
23921|high|79971|6|19|20|Female
23922|high|87893|6|19|40|Male
23923|high|88802|5|18|90|Male
23924|high|74744|6|20|10|Female
23925|high|72068|5|18|90|Female
23926|high|84796|5|20|40|Female
23927|high|66151|5|20|50|Female
23928|high|84919|5|19|80|Female
23929|high|68886|6|20|50|Female
23930|high|89135|5|19|40|Male
23931|high|81083|5|20|40|Female
23932|high|87459|5|17|0|Male
23933|high|80962|6|19|50|Female
23934|high|68696|7|20|90|Male
23935|high|80950|6|20|50|Male
23936|high|65747|7|19|10|Female
23937|high|60496|5|19|90|Male
23938|high|66550|5|19|60|Female
23939|high|64904|7|17|90|Male
23940|high|73787|7|20|40|Female
23941|high|61067|5|20|90|Female
23942|high|86587|6|17|50|Female
23943|high|67787|7|18|40|Female
23944|high|81627|6|18|50|Female
23945|high|63307|5|18|60|Male
23946|high|87539|7|20|80|Male
23947|high|61130|6|16|60|Female
23948|high|89988|6|20|100|Male
23949|high|61781|6|17|70|Female
23950|high|68387|5|19|100|Male
23951|high|65622|6|16|80|Female
23952|high|66057|6|17|50|Male
23953|high|88620|7|17|40|Female
23954|high|67309|6|16|60|Male
23955|high|62561|6|20|90|Male
23956|medium|66656|4|16|80|Female
23957|medium|56271|3|14|50|Female
23958|medium|68892|3|14|100|Female
23959|medium|56186|2|16|50|Female
23960|medium|58707|1|15|70|Female
23961|medium|65805|4|14|70|Female
23962|medium|55770|2|15|10|Female
23963|medium|58082|3|14|0|Female
23964|medium|62218|1|16|90|Female
23965|medium|67923|4|16|20|Female
23966|medium|69069|1|16|90|Female
23967|medium|66874|3|15|30|Female
23968|medium|66939|2|16|50|Female
23969|medium|65609|3|16|90|Female
23970|medium|56635|2|16|50|Female
23971|medium|56127|3|16|80|Female
23972|medium|61232|2|15|20|Female
23973|medium|69782|2|16|0|Female
23974|medium|55239|3|15|90|Female
23975|medium|64338|1|16|30|Female
23976|medium|61120|1|14|80|Female
23977|medium|62053|1|14|80|Female
23978|medium|58702|4|16|50|Female
23979|medium|59378|3|16|40|Female
23980|medium|61479|4|16|70|Female
23981|medium|61921|1|15|50|Female
23982|medium|69286|2|14|90|Female
23983|medium|55235|3|16|80|Female
23984|medium|65413|4|14|60|Female
23985|medium|55267|3|15|10|Female
23986|medium|61827|3|16|20|Female
23987|medium|55405|3|14|60|Female
23988|medium|68370|3|15|30|Female
23989|medium|66949|4|15|40|Female
23990|medium|57285|1|15|50|Female
23991|medium|61369|2|14|60|Female
23992|medium|63368|2|14|10|Female
23993|medium|64663|4|15|70|Female
23994|medium|61599|4|16|80|Female
23995|medium|63792|2|14|70|Female
23996|medium|65466|3|16|40|Female
23997|medium|60206|3|14|0|Female
23998|medium|63801|3|16|40|Female
23999|medium|63954|4|15|20|Female
24000|medium|63667|1|14|40|Female
24001|medium|63171|2|15|70|Female
24002|medium|66555|3|14|50|Female
24003|medium|67952|4|14|20|Female
24004|medium|58360|2|15|0|Female
24005|medium|68011|2|15|70|Female
24006|low|48734|4|13|70|Male
24007|low|48545|7|12|30|Female
24008|low|53620|6|12|40|Female
24009|low|53335|6|13|40|Male
24010|low|52301|6|14|50|Male
24011|low|58313|3|13|20|Male
24012|low|45300|5|13|40|Male
24013|low|58585|4|14|70|Male
24014|low|48939|3|12|80|Female
24015|low|51514|4|14|90|Female
24016|low|50982|3|14|40|Female
24017|low|51658|6|12|70|Male
24018|low|71550|3|13|90|Female
24019|low|71796|6|14|60|Male
24020|high|45062|5|14|90|Male
24021|high|46626|3|13|80|Female
24022|low|51507|5|13|40|Female
24023|low|49016|3|13|40|Female
24024|low|51875|3|13|80|Female
24025|low|57120|6|12|40|Male
24026|low|50855|5|13|70|Male
24027|low|45632|5|14|70|Male
24028|low|45813|6|14|60|Male
24029|low|56021|4|12|90|Female
24030|low|48605|4|12|80|Female
24031|low|53741|4|12|60|Male
24032|low|58086|4|13|60|Male
24033|low|48874|5|13|30|Male
24034|low|56956|3|12|30|Male
24035|low|55519|4|12|70|Female
24036|low|50508|6|12|100|Male
24037|low|56574|6|13|70|Female
24038|low|46234|5|12|40|Male
24039|low|55061|4|12|20|Male
24040|low|54467|3|12|70|Male
24041|low|48765|4|12|100|Female
24042|low|59906|4|13|90|Male
24043|low|48186|5|14|60|Male
24044|low|54348|4|13|80|Female
24045|low|48822|5|14|30|Male
24046|low|52225|6|13|90|Female
24047|low|58468|4|14|80|Male
24048|low|56097|5|14|50|Female
24049|low|56059|6|13|70|Male
24050|low|47734|4|12|70|Male
24051|low|52860|3|12|90|Male
24052|low|47114|5|14|60|Male
24053|low|49183|5|13|80|Male
24054|low|52963|4|12|90|Male
24055|low|54599|4|12|60|Male
24056|high|64931|6|18|80|Female
24057|high|64082|5|18|90|Male
24058|high|86824|5|20|20|Male
24059|high|60584|5|19|50|Female
24060|high|69902|7|17|90|Female
24061|high|79401|7|18|0|Female
24062|high|75833|6|19|100|Female
24063|high|77552|7|19|20|Male
24064|high|80160|6|20|40|Male
24065|high|75538|6|20|80|Female
24066|high|72408|7|19|80|Male
24067|high|67434|5|20|80|Female
24068|high|71440|7|18|10|Male
24069|high|86388|7|20|100|Female
24070|high|60798|6|19|20|Female
24071|high|70000|6|16|20|Female
24072|high|67860|6|16|20|Female
24073|high|65104|5|17|0|Female
24074|high|66311|5|16|60|Female
24075|high|73932|5|20|90|Male
24076|high|80487|7|18|50|Female
24077|high|69122|7|20|10|Male
24078|high|85616|7|18|20|Male
24079|high|71698|5|16|20|Female
24080|high|88688|5|20|100|Female
24081|high|83448|6|16|60|Male
24082|high|75494|7|20|40|Male
24083|high|77459|5|17|80|Female
24084|high|78943|5|18|20|Female
24085|high|88038|6|20|50|Male
24086|high|63837|7|19|40|Female
24087|high|72497|5|17|10|Female
24088|high|79647|6|16|70|Female
24089|high|70690|5|16|40|Female
24090|high|69195|7|18|100|Female
24091|high|89196|7|18|80|Female
24092|high|88558|5|18|50|Female
24093|high|68929|5|19|90|Female
24094|high|73685|7|16|10|Female
24095|high|82992|7|19|90|Female
24096|high|87272|5|17|20|Female
24097|high|72236|6|19|30|Male
24098|high|71802|7|16|90|Male
24099|high|81275|6|16|80|Male
24100|high|69412|6|20|80|Male
24101|high|84620|5|19|60|Female
24102|high|61173|7|20|10|Female
24103|high|77761|7|19|10|Female
24104|high|60493|5|18|60|Female
24105|high|84731|7|16|50|Female
24106|medium|62866|3|16|10|Female
24107|medium|65704|4|14|30|Female
24108|medium|62199|1|14|30|Female
24109|medium|63275|2|14|70|Female
24110|medium|60873|4|16|80|Female
24111|medium|65688|4|16|0|Female
24112|medium|57270|2|15|20|Female
24113|medium|69901|1|15|80|Female
24114|medium|60722|3|14|60|Female
24115|medium|57899|1|14|40|Female
24116|medium|64447|1|15|0|Female
24117|medium|68622|4|16|30|Female
24118|medium|67333|2|16|80|Female
24119|medium|55799|1|16|100|Female
24120|medium|64184|4|14|10|Female
24121|medium|68048|3|15|70|Female
24122|medium|68378|4|15|40|Female
24123|medium|62141|3|15|30|Female
24124|medium|63300|4|15|10|Female
24125|medium|62187|2|14|90|Female
24126|medium|60425|1|14|70|Female
24127|medium|56665|3|14|30|Female
24128|medium|69869|2|16|60|Female
24129|medium|62103|2|16|20|Female
24130|medium|59932|1|15|10|Female
24131|medium|65466|3|15|60|Female
24132|medium|64901|3|16|90|Female
24133|medium|68613|2|16|40|Female
24134|medium|61885|4|15|80|Female
24135|medium|69724|4|14|90|Female
24136|medium|63836|1|15|20|Female
24137|medium|64262|3|14|80|Female
24138|medium|67821|2|15|30|Female
24139|medium|59965|1|15|70|Female
24140|medium|60559|4|14|80|Female
24141|medium|61297|3|14|60|Female
24142|medium|64579|4|16|40|Female
24143|medium|56188|3|15|60|Female
24144|medium|56656|4|14|20|Female
24145|medium|64807|1|15|70|Female
24146|medium|68493|4|16|70|Female
24147|medium|63190|1|14|10|Female
24148|medium|64481|3|14|80|Female
24149|medium|57073|2|14|60|Female
24150|medium|66569|3|16|30|Female
24151|medium|64384|3|14|70|Female
24152|medium|68212|2|16|80|Female
24153|medium|69040|2|15|50|Female
24154|medium|62914|1|14|10|Female
24155|medium|68931|1|15|20|Female
24156|low|50466|6|14|80|Male
24157|low|47252|6|13|90|Male
24158|low|48112|5|12|80|Male
24159|low|57375|3|14|40|Female
24160|low|56768|6|12|30|Male
24161|low|51806|6|14|80|Male
24162|low|52325|6|13|70|Male
24163|low|54550|4|14|80|Female
24164|high|46780|4|12|40|Male
24165|medium|48398|3|13|50|Male
24166|low|57508|5|12|50|Male
24167|high|47699|4|12|40|Female
24168|low|59154|6|12|40|Female
24169|low|59509|6|13|90|Female
24170|low|58049|6|12|60|Male
24171|low|46669|5|13|70|Male
24172|high|56905|6|12|90|Female
24173|low|58886|5|12|60|Female
24174|low|55472|5|12|70|Female
24175|low|55767|6|13|80|Female
24176|low|58396|5|12|90|Male
24177|medium|52812|3|12|70|Male
24178|low|53882|4|13|90|Female
24179|low|48443|6|13|50|Male
24180|low|52378|5|14|60|Female
24181|low|56770|3|13|30|Male
24182|low|58912|3|14|60|Female
24183|low|59815|5|14|20|Male
24184|low|51041|5|14|90|Female
24185|low|53109|4|13|40|Female
24186|low|49187|5|14|90|Male
24187|low|47378|3|14|20|Male
24188|high|56099|6|14|90|Female
24189|low|51453|3|12|60|Female
24190|low|56498|5|14|70|Male
24191|low|77114|3|14|0|Male
24192|low|78913|4|14|90|Male
24193|low|76155|3|13|90|Male
24194|low|79401|3|13|20|Female
24195|low|50041|5|13|10|Male
24196|low|72786|4|14|40|Female
24197|low|81434|6|14|30|Male
24198|low|54486|4|13|20|Female
24199|low|58725|3|13|10|Male
24200|low|88366|5|12|80|Male
24201|low|85248|6|12|50|Female
24202|low|52035|5|14|20|Female
24203|low|47375|3|13|50|Male
24204|low|46698|3|12|10|Female
24205|low|45980|4|14|20|Female
24206|high|42068|7|18|40|Male
24207|high|74122|6|17|10|Male
24208|high|48363|5|17|60|Male
24209|high|79220|5|16|60|Male
24210|high|63021|6|20|40|Female
24211|high|48109|7|16|90|Male
24212|high|71261|5|20|90|Male
24213|high|48675|6|19|0|Male
24214|high|70250|5|17|90|Male
24215|high|32880|6|18|50|Male
24216|high|37862|5|19|60|Male
24217|high|76191|6|17|60|Male
24218|high|88386|7|19|90|Male
24219|high|62634|6|17|40|Male
24220|high|66894|6|19|80|Female
24221|high|67068|5|16|30|Male
24222|high|71436|7|17|90|Female
24223|high|81187|6|17|50|Female
24224|high|60284|6|19|20|Female
24225|high|68954|5|19|20|Female
24226|high|77894|6|17|20|Male
24227|high|87373|7|20|80|Male
24228|high|83738|6|17|50|Female
24229|high|74398|5|16|60|Female
24230|high|76653|5|19|50|Male
24231|high|82806|6|20|30|Male
24232|high|70164|5|19|10|Female
24233|high|73226|5|20|20|Male
24234|high|69149|6|20|30|Female
24235|high|86250|5|18|20|Female
24236|high|68648|5|16|40|Female
24237|high|89159|5|19|70|Female
24238|high|85643|6|18|90|Female
24239|high|79204|6|19|60|Female
24240|high|68243|7|17|80|Male
24241|high|62466|5|18|40|Female
24242|high|72246|5|18|80|Male
24243|high|89687|5|19|30|Female
24244|high|78075|7|20|90|Female
24245|high|83445|5|20|80|Male
24246|high|74197|7|17|50|Male
24247|high|86756|6|17|0|Female
24248|high|80034|7|16|0|Female
24249|high|39145|5|20|90|Female
24250|high|68654|6|18|90|Male
24251|high|82356|5|19|90|Female
24252|high|75436|6|18|60|Male
24253|high|42277|7|19|70|Male
24254|high|65665|7|20|0|Female
24255|high|82285|6|20|30|Male
24256|medium|59886|3|16|40|Female
24257|medium|56952|2|14|30|Female
24258|medium|62158|4|16|30|Female
24259|medium|59394|2|14|90|Female
24260|medium|66196|4|16|20|Female
24261|medium|60239|3|15|30|Female
24262|medium|58861|1|14|80|Female
24263|medium|67903|3|14|10|Female
24264|medium|62710|2|14|90|Female
24265|medium|66260|3|14|30|Female
24266|medium|61363|1|16|60|Female
24267|medium|64400|1|16|30|Female
24268|medium|55207|1|14|70|Female
24269|medium|69068|3|14|30|Female
24270|medium|67823|4|16|80|Female
24271|medium|57466|4|14|40|Female
24272|medium|60614|4|14|80|Female
24273|medium|63889|2|15|80|Female
24274|medium|69808|4|14|20|Female
24275|medium|56078|4|15|80|Female
24276|medium|65369|3|14|30|Female
24277|medium|65875|1|16|0|Female
24278|medium|55889|3|15|60|Female
24279|medium|62653|4|15|20|Female
24280|medium|61335|1|15|80|Female
24281|medium|63795|4|16|60|Female
24282|medium|63675|2|16|50|Female
24283|medium|57814|2|14|10|Female
24284|medium|60661|2|16|100|Female
24285|medium|69662|1|16|40|Female
24286|medium|58763|3|14|60|Female
24287|medium|60770|3|14|40|Female
24288|medium|56937|1|15|90|Female
24289|medium|67393|4|15|20|Female
24290|medium|61170|3|16|10|Female
24291|medium|62690|3|15|10|Female
24292|medium|55932|2|15|100|Female
24293|medium|56680|3|14|70|Female
24294|medium|61007|4|15|40|Female
24295|medium|60405|2|14|30|Female
24296|medium|69647|1|15|70|Female
24297|medium|58701|1|16|40|Female
24298|medium|69751|1|16|70|Female
24299|medium|61894|1|14|50|Female
24300|medium|62747|1|14|50|Female
24301|medium|55862|1|16|40|Female
24302|medium|64629|1|16|50|Female
24303|medium|67652|2|15|90|Female
24304|medium|55498|3|15|60|Female
24305|medium|59028|1|15|80|Female
24306|low|45670|6|12|80|Female
24307|low|47006|6|12|60|Female
24308|low|70527|4|14|80|Female
24309|low|75846|5|13|80|Male
24310|high|54405|3|14|10|Male
24311|high|52090|4|13|50|Male
24312|high|49674|3|13|50|Male
24313|low|52271|4|13|20|Male
24314|low|49343|5|12|30|Female
24315|low|47772|3|14|30|Male
24316|low|50074|5|14|90|Female
24317|low|55973|4|14|20|Female
24318|low|54353|6|14|90|Female
24319|low|49226|4|12|50|Male
24320|low|45395|6|14|40|Female
24321|low|46300|3|12|50|Female
24322|low|48763|3|12|90|Male
24323|low|50460|5|14|20|Male
24324|low|51926|6|12|30|Female
24325|low|51644|3|12|30|Male
24326|low|57978|4|13|30|Female
24327|low|55218|3|12|100|Female
24328|low|54719|5|14|70|Male
24329|low|57084|6|12|10|Female
24330|low|56016|3|13|10|Female
24331|low|47196|6|14|10|Female
24332|low|54581|4|12|40|Female
24333|low|49239|4|13|60|Female
24334|low|50022|3|13|10|Male
24335|low|52800|7|14|100|Female
24336|low|57673|7|14|20|Female
24337|low|54749|7|12|20|Female
24338|low|48853|3|12|60|Female
24339|low|58787|5|14|20|Female
24340|low|50900|6|14|80|Male
24341|low|54699|4|12|50|Male
24342|low|59449|4|13|80|Female
24343|low|47220|4|13|10|Female
24344|low|48148|4|13|90|Female
24345|low|49766|5|12|30|Female
24346|low|45028|4|13|40|Female
24347|low|54791|4|12|0|Male
24348|low|48347|6|12|60|Female
24349|low|48325|5|12|40|Male
24350|low|51352|5|14|20|Male
24351|low|58612|3|13|20|Male
24352|low|51825|6|14|60|Male
24353|low|56522|6|12|80|Female
24354|low|87270|6|13|80|Male
24355|low|45947|4|13|20|Male
24356|high|62561|7|19|40|Female
24357|high|70310|5|19|30|Female
24358|high|79668|6|20|70|Female
24359|high|47996|7|18|50|Female
24360|high|85145|5|17|60|Female
24361|high|41630|5|19|30|Female
24362|high|40488|6|19|10|Female
24363|high|88106|5|16|80|Female
24364|high|74186|5|20|10|Male
24365|high|70375|6|16|60|Male
24366|high|83632|7|17|70|Male
24367|high|84489|5|18|10|Male
24368|high|78059|5|17|40|Female
24369|high|66509|5|16|80|Male
24370|high|82412|5|17|90|Female
24371|high|68355|5|17|60|Female
24372|high|87887|7|17|50|Female
24373|high|65915|5|18|20|Male
24374|high|74954|7|19|40|Female
24375|high|40037|7|20|40|Male
24376|high|48358|6|18|60|Male
24377|high|66733|7|16|40|Female
24378|high|46911|7|18|30|Female
24379|high|47142|7|20|60|Male
24380|high|80673|5|17|80|Female
24381|high|83844|6|20|80|Male
24382|high|79436|5|17|50|Female
24383|high|65744|6|18|70|Female
24384|high|72529|6|19|20|Female
24385|high|73812|5|18|90|Female
24386|high|60149|5|19|10|Female
24387|high|61006|5|20|50|Female
24388|medium|81203|5|17|10|Female
24389|high|48471|7|17|90|Female
24390|high|74212|7|17|40|Male
24391|high|74837|5|20|10|Male
24392|high|72600|7|18|50|Female
24393|high|73042|5|19|0|Female
24394|high|86130|7|16|80|Male
24395|high|64465|7|17|50|Male
24396|high|63957|6|18|30|Female
24397|high|80116|7|20|50|Female
24398|high|63582|6|19|30|Male
24399|high|84874|7|17|70|Female
24400|high|75403|6|18|50|Female
24401|high|89175|5|17|10|Male
24402|high|70854|5|18|70|Male
24403|high|84198|6|16|40|Female
24404|high|64346|6|16|90|Male
24405|medium|85006|6|20|60|Female
24406|medium|57250|2|14|100|Female
24407|medium|68369|4|15|10|Female
24408|medium|69131|2|14|0|Female
24409|medium|64509|1|16|70|Female
24410|medium|65114|3|15|10|Female
24411|medium|56163|2|16|20|Female
24412|medium|67854|3|16|20|Female
24413|medium|67426|4|15|40|Female
24414|medium|68850|1|16|20|Female
24415|medium|66616|4|14|70|Female
